item_id,bio,criticalfiller,name,,gender_code,gender,vital_Code,vital_status,type_code,type,tense_code,tense,mm_code,mm,list,match,correct_response,yes_press,unique_id
115,"Before retiring in 2017, Tigran Zotov was a Russian business mogul. ","He*grew up*in Moscow,*so Wikipedia Says.*  ",Tigran Zotov,filler,1,female,2,retired,9,filler,9,PS,51,filler,14,yes,4,4,9115093
123,Danica Hrvat was an Albanian television personality. She died in 1999.,"She*was a*mother of four,*if one believes*Google. ",Danica Hrvat,filler,1,female,0,living,9,filler,9,PS,51,filler,14,yes,4,4,9123093
140,Ling Tsou immigrated to the UK from Hong Kong. She was a painter.,"She*painted*many masterpieces,*as stated*on Google.   ",Ling Tsou,filler,1,female,0,living,9,filler,9,PS,91,filler,14,yes,4,4,9140093
97,Ida Nardozi immigrated to Canada in 1998. She was an inventor.,"She*grew up*in Naples,*as reported*by Google.  ",Ida Nardozi,filler,1,female,1,dead,9,filler,9,PS,50,filler,14,yes,4,4,997193
109,The Pakistani painter Jadeeda Saleem enjoyed collecting comic books. ,"She*created*several masterpieces,*as reported by*news outlets.  ",Jadeeda Saleem,filler,0,male,1,dead,9,filler,9,PS,90,filler,14,yes,4,4,9109193
112,Alicja Baba used to be a Polish inventor. She was active for 26 years before retiring.,"She*developed*innumerable gadgets,*so Google says.    ",Alicja Baba,filler,0,male,0,living,9,filler,9,PS,91,filler,14,yes,4,4,9112093
150,The Czech business mogul Jozef Roubíček enjoys gardening. He lives in Prague.,"He*died*in 1964,*as reported by*his biography.  ",Jozef Roubíček,filler,0,male,2,retired,9,filler,9,livesdied,90,filler,14,no,5,4,9150193
170,"Before her death in 1972, Aytuna Brahmani was a Pakistani inventor. ","She*works*in London,*as reported by*news outlets.  ",Aytuna Brahmani,filler,1,female,1,dead,9,filler,9,livesdied,30,filler,14,no,5,4,9170193
151,Paula Wanrooij was a Dutch painter. She retired in 1988.,"He*is a*father of one,*as stated in*news reports.",Paula Wanrooij,filler,0,male,0,dead,9,filler,9,pronoun,30,filler,14,no,5,4,9151093
168,Ibekwe Chukwumaobim is a Nigerian-British business mogul. He is from London.,"He*was born*and raised*in Lagos,* so his biography*has it.",Ibekwe Chukwumaobim,filler,0,male,0,living,9,filler,9,pronoun,91,filler,14,no,5,4,9168093
175,Albin Liszka was a Polish painter. He lives in Warsaw.,"She*is a*mother of two,*so Google says.  ",Marian Liszka,filler,0,male,0,living,9,filler,9,pronoun,31,filler,14,no,5,4,9175093
148,Zuzana Šimečková is a Czech sculpter. She is from Prague.,"She*was born*and raised*in Seattle,*if one believes*Google.",Zuzana Šimečková,filler,1,female,0,living,9,filler,9,place,31,filler,14,no,5,4,9148093
